SampleID, process                                                     , xsection(nb), kfactor , filtereff , generator                               , simulation
# signal non-res NLO+FT kappa_lambda=1
511812  , MGPy8EG_NNPDF30NLO_HHbbZZ2l2q_l1cvv0cv1                     , 0.000027069, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Pythia8(v.244p3.rangefix)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16

# signal samples VBF SM and BSM bbZZ 2l2q herwig7
512131  , MGH7EG_HHbbZZ2l2q_l10cvv1cv1                                , 0.000098059, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
512132  , MGH7EG_HHbbZZ2l2q_l1cvv0cv1                                 , 0.000027069, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
512133  , MGH7EG_HHbbZZ2l2q_l1cvv1cv1                                 , 0.000001726, 1       , 0.004272  , MadGraph(v.2.7.3p3.atlas6)+Herwig7(v.7.2.1p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16


# other signal samples for cross-checks
450259  , MadGraphHerwig7EvtGen_NNPDF23LO_X1000tohh_bbbb              , 0.001     , 1       , 0.33919   , MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
450535  , MadGraphHerwig7EvtGen_PDF23LO_X500tohh_bbyy                 , 0.001     , 1       , 0.0026441 , MadGraph.2.6.1+Herwig7.7.1.3+EvtGen.1.6.0, OFLCOND-MC16-SDR-16
600051  , PhH7EG_PDF4LHC15_HHbbyy_cHHH01d0                            , 0.001     , 1       , 0.0026441 , Powheg+Herwig7(v.7.1.6p3)+EvtGen(v.1.7.0), OFLCOND-MC16-SDR-16
301216  , Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_ee_E6Chi3000        , 0.00000080483, 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-25
301221  , Pythia8EvtGen_A14NNPDF23LO_Zprime_NoInt_mumu_E6Chi3000      , 0.00000080313, 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-16
301243  , Pythia8EvtGen_A14NNPDF23LO_Wprime_enu_SSM3000               , 0.000011414, 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-25
301247  , Pythia8EvtGen_A14NNPDF23LO_Wprime_munu_SSM3000              , 0.000011432, 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-16
301323  , Pythia8EvtGen_A14NNPDF23LO_zprime500_tt                     , 0.008748  , 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-25
301325  , Pythia8EvtGen_A14NNPDF23LO_zprime1000_tt                    , 0.0011253 , 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-25
301329  , Pythia8EvtGen_A14NNPDF23LO_zprime2000_tt                    , 0.000051339, 1       , 1         , Pythia8(v8.186)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-25
301826  , Pythia8EvtGen_A14NNPDF23LO_Wprime_qq_3000                   , 0.00010318, 1       , 1         , Pythia8(v8.205)+EvtGen(v1.2.0)          , OFLCOND-MC16-SDR-16
302111  , MadGraphPythia8EvtGen_A14NNPDF23LO_HVT_Agv1_VzWW_qqqq_m3000 , 0.000000296, 1       , 1         , MadGraph5_aMC@NLO(v2.2.2.p6)+Pythia8(v8.186)+EvtGen(v1.2.0), OFLCOND-MC16-SDR-25
302136  , MadGraphPythia8EvtGen_A14NNPDF23LO_HVT_Agv1_VzWW_lvqq_m3000 , 0.0000002949, 1       , 1         , MadGraph5_aMC@NLO(v2.2.2.p6)+Pythia8(v8.186)+EvtGen(v1.2.0), OFLCOND-MC16-SDR-20
302186  , MadGraphPythia8EvtGen_A14NNPDF23LO_HVT_Agv1_VcWZ_qqqq_m3000 , 0.0000006688, 1       , 1         , MadGraph5_aMC@NLO(v2.2.2.p6)+Pythia8(v8.186)+EvtGen(v1.2.0), OFLCOND-MC16-SDR-25
302211  , MadGraphPythia8EvtGen_A14NNPDF23LO_HVT_Agv1_VcWZ_lvqq_m3000 , 0.0000003349, 1       , 1         , MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0), OFLCOND-MC16-SDR-20
302236  , MadGraphPythia8EvtGen_A14NNPDF23LO_HVT_Agv1_VcWZ_llqq_m3000 , 0.0000001012, 1       , 1         , MadGraph5_aMC@NLO(v2.2.2.p6)+Pythia8(v8.186)+EvtGen(v1.2.0), OFLCOND-MC16-SDR-20
